n,x,y,val,dP,lab,xT,yT
62,-11.491442,-2.005039,0,1135,NaN,NaN,NaN
63,-11.499909,-2.007982,0,1135,NaN,NaN,NaN
64,-11.508376,-2.005039,0,1134,NaN,NaN,NaN
65,-11.511198,-2.002096,0,1134,NaN,NaN,NaN
66,-11.505554,-2.007982,0,1133,NaN,NaN,NaN
67,-11.51402,-2.013868,0,1131,NaN,NaN,NaN
68,-11.52813,-2.007982,0,1130,NaN,NaN,NaN
69,-11.539417,-1.99621,0,1130,NaN,NaN,NaN
70,-11.539417,-1.984438,0,1131,NaN,NaN,NaN
71,-11.539417,-1.981495,0,1132,NaN,NaN,NaN
72,-11.542238,-1.975609,0,1133,NaN,NaN,NaN
73,-11.536595,-1.966779,0,1133,NaN,NaN,NaN
74,-11.52813,-1.95795,0,1131,NaN,NaN,NaN
75,-11.516842,-1.95795,0,1129,NaN,NaN,NaN
76,-11.508376,-1.960893,0,1126,NaN,NaN,NaN
77,-11.502732,-1.966779,0,1126,NaN,NaN,NaN
78,-11.494264,-1.963836,0,1125,NaN,NaN,NaN
79,-11.491442,-1.95795,0,1126,NaN,NaN,NaN
80,-11.502732,-1.952063,0,1127,NaN,NaN,NaN
81,-11.51402,-1.943233,0,1129,NaN,NaN,NaN
82,-11.52813,-1.937347,0,1130,NaN,NaN,NaN
83,-11.52813,-1.93146,0,1129,NaN,NaN,NaN
84,-11.533774,-1.93146,0,1127,NaN,NaN,NaN
85,-11.530952,-1.93146,0,1125,NaN,NaN,NaN
86,-11.522486,-1.937347,0,1126,NaN,NaN,NaN
87,-11.51402,-1.94912,0,1127,NaN,NaN,NaN
88,-11.516842,-1.95795,0,1128,NaN,NaN,NaN
89,-11.519664,-1.952063,0,1128,NaN,NaN,NaN
90,-11.522486,-1.943233,0,1128,NaN,NaN,NaN
91,-11.519664,-1.94029,0,1128,NaN,NaN,NaN
92,-11.516842,-1.960893,0,1129,NaN,NaN,NaN
93,-11.519664,-1.981495,0,1128,NaN,NaN,NaN
94,-11.522486,-1.984438,0,1128,NaN,NaN,NaN
95,-11.51402,-1.955006,0,1128,NaN,NaN,NaN
96,-11.508376,-1.925574,0,1129,NaN,NaN,NaN
97,-11.502732,-1.907914,0,1130,NaN,NaN,NaN
98,-11.505554,-1.910857,0,1130,NaN,NaN,NaN
99,-11.508376,-1.916744,0,1130,NaN,NaN,NaN
100,-11.51402,-1.934404,0,1131,NaN,NaN,NaN
101,-11.516842,-1.946177,0,1132,NaN,NaN,NaN
102,-11.522486,-1.960893,0,1131,NaN,NaN,NaN
103,-11.522486,-1.95795,0,1129,NaN,NaN,NaN
104,-11.522486,-1.952063,0,1127,NaN,NaN,NaN
105,-11.525308,-1.94912,0,1127,NaN,NaN,NaN
106,-11.52813,-1.94912,0,1127,NaN,NaN,NaN
107,-11.516842,-1.943233,0,1128,NaN,NaN,NaN
108,-11.499909,-1.94029,0,1127,NaN,NaN,NaN
109,-11.482974,-1.937347,0,1127,NaN,NaN,NaN
110,-11.480151,-1.94029,0,1127,NaN,NaN,NaN
111,-11.482974,-1.94029,0,1128,NaN,NaN,NaN
112,-11.485797,-1.94029,0,1129,NaN,NaN,NaN
113,-11.491442,-1.94029,0,1129,NaN,NaN,NaN
114,-11.491442,-1.955006,0,1129,NaN,NaN,NaN
115,-11.494264,-1.969722,0,1128,NaN,NaN,NaN
116,-11.497087,-1.984438,0,1128,NaN,NaN,NaN
117,-11.497087,-1.999153,0,1128,NaN,NaN,NaN
118,-11.508376,-2.010925,0,1129,NaN,NaN,NaN
119,-11.522486,-1.999153,0,1130,NaN,NaN,NaN
120,-11.522486,-1.969722,0,1131,NaN,NaN,NaN
121,-11.505554,-1.94029,0,1132,NaN,NaN,NaN
122,-11.499909,-1.934404,0,1132,NaN,NaN,NaN
123,-11.505554,-1.93146,0,1133,NaN,NaN,NaN
124,-11.511198,-1.934404,0,1133,NaN,NaN,NaN
125,-11.502732,-1.943233,0,1131,NaN,NaN,NaN
126,-11.508376,-1.952063,0,1129,NaN,NaN,NaN
127,-11.519664,-1.95795,0,1127,NaN,NaN,NaN
128,-11.530952,-1.955006,0,1126,NaN,NaN,NaN
129,-11.530952,-1.94912,0,1126,NaN,NaN,NaN
130,-11.533774,-1.946177,0,1125,NaN,NaN,NaN
131,-11.530952,-1.93146,0,1125,NaN,NaN,NaN
132,-11.52813,-1.919687,0,1125,NaN,NaN,NaN
133,-11.519664,-1.919687,0,1125,NaN,NaN,NaN
134,-11.51402,-1.934404,0,1127,NaN,NaN,NaN
135,-11.508376,-1.952063,0,1129,NaN,NaN,NaN
136,-11.502732,-1.955006,0,1129,NaN,NaN,NaN
137,-11.505554,-1.975609,0,1127,NaN,NaN,NaN
138,-11.511198,-1.993267,0,1126,NaN,NaN,NaN
139,-11.516842,-1.993267,0,1128,NaN,NaN,NaN
140,-11.519664,-1.972665,0,1129,NaN,NaN,NaN
141,-11.522486,-1.95795,0,1130,NaN,NaN,NaN
142,-11.525308,-1.963836,0,1130,NaN,NaN,NaN
143,-11.52813,-1.955006,0,1130,NaN,NaN,NaN
144,-11.52813,-1.943233,0,1129,NaN,NaN,NaN
145,-11.522486,-1.94029,0,1128,NaN,NaN,NaN
146,-11.519664,-1.943233,0,1128,NaN,NaN,NaN
147,-11.522486,-1.937347,0,1129,NaN,NaN,NaN
148,-11.522486,-1.92263,0,1129,NaN,NaN,NaN
149,-11.525308,-1.928517,0,1129,NaN,NaN,NaN
150,-11.530952,-1.943233,0,1129,NaN,NaN,NaN
151,-11.539417,-1.955006,0,1128,NaN,NaN,NaN
152,-11.550703,-1.955006,0,1128,NaN,NaN,NaN
153,-11.553524,-1.955006,0,1128,NaN,NaN,NaN
154,-11.553524,-1.95795,0,1128,NaN,NaN,NaN
155,-11.550703,-1.969722,0,1129,NaN,NaN,NaN
156,-11.542238,-1.981495,0,1130,NaN,NaN,NaN
157,-11.536595,-1.975609,0,1127,NaN,NaN,NaN
158,-11.530952,-1.95795,0,1125,NaN,NaN,NaN
159,-11.52813,-1.94029,0,1123,NaN,NaN,NaN
160,-11.522486,-1.946177,0,1125,NaN,NaN,NaN
161,-11.516842,-1.94912,0,1126,NaN,NaN,NaN
162,-11.511198,-1.960893,0,1126,NaN,NaN,NaN
163,-11.502732,-1.969722,0,1125,NaN,NaN,NaN
164,-11.494264,-1.94912,0,1125,NaN,NaN,NaN
165,-11.482974,-1.92263,0,1125,NaN,NaN,NaN
166,-11.480151,-1.907914,0,1126,NaN,NaN,NaN
167,-11.482974,-1.92263,0,1127,NaN,NaN,NaN
168,-11.502732,-1.937347,0,1126,NaN,NaN,NaN
169,-11.522486,-1.952063,0,1126,NaN,NaN,NaN
170,-11.533774,-1.955006,0,1126,NaN,NaN,NaN
171,-11.533774,-1.960893,0,1127,NaN,NaN,NaN
172,-11.533774,-1.943233,0,1127,NaN,NaN,NaN
173,-11.530952,-1.928517,0,1127,NaN,NaN,NaN
174,-11.539417,-1.928517,0,1128,NaN,NaN,NaN
175,-11.553524,-1.94912,0,1129,NaN,NaN,NaN
176,-11.570451,-1.969722,0,1131,NaN,NaN,NaN
177,-11.561988,-1.969722,0,1133,NaN,NaN,NaN
178,-11.547881,-1.969722,0,1133,NaN,NaN,NaN
179,-11.530952,-1.966779,0,1133,NaN,NaN,NaN
180,-11.530952,-1.963836,0,1132,NaN,NaN,NaN
181,-11.52813,-1.960893,0,1132,NaN,NaN,NaN
182,-11.52813,-1.955006,0,1132,NaN,NaN,NaN
183,-11.516842,-1.960893,0,1131,NaN,NaN,NaN
184,-11.502732,-1.966779,0,1130,NaN,NaN,NaN
185,-11.485797,-1.975609,0,1129,NaN,NaN,NaN
186,-11.480151,-1.972665,0,1129,NaN,NaN,NaN
187,-11.480151,-1.969722,0,1129,NaN,NaN,NaN
188,-11.497087,-1.963836,0,1129,NaN,NaN,NaN
189,-11.519664,-1.963836,0,1129,NaN,NaN,NaN
190,-11.52813,-1.969722,0,1129,NaN,NaN,NaN
191,-11.51402,-1.978552,0,1129,NaN,NaN,NaN
192,-11.508376,-1.981495,0,1129,NaN,NaN,NaN
193,-11.522486,-1.984438,0,1130,NaN,NaN,NaN
194,-11.530952,-1.984438,0,1131,NaN,NaN,NaN
195,-11.530952,-1.987381,0,1132,NaN,NaN,NaN
196,-11.519664,-1.993267,0,1132,NaN,NaN,NaN
197,-11.51402,-1.999153,0,1130,NaN,NaN,NaN
198,-11.499909,-1.990324,0,1129,NaN,NaN,NaN
199,-11.488619,-1.975609,0,1127,NaN,NaN,NaN
200,-11.482974,-1.95795,0,1127,NaN,NaN,NaN
201,-11.491442,-1.952063,0,1127,NaN,NaN,NaN
202,-11.497087,-1.94029,0,1127,NaN,NaN,NaN
203,-11.499909,-1.93146,0,1124,NaN,NaN,NaN
204,-11.499909,-1.925574,0,1122,NaN,NaN,NaN
205,-11.502732,-1.937347,0,1121,NaN,NaN,NaN
206,-11.505554,-1.94912,0,1123,NaN,NaN,NaN
207,-11.505554,-1.955006,0,1124,NaN,NaN,NaN
208,-11.505554,-1.960893,0,1124,NaN,NaN,NaN
209,-11.508376,-1.960893,0,1125,NaN,NaN,NaN
210,-11.508376,-1.963836,0,1126,NaN,NaN,NaN
211,-11.511198,-1.963836,0,1126,NaN,NaN,NaN
212,-11.51402,-1.969722,0,1125,NaN,NaN,NaN
213,-11.519664,-1.972665,0,1125,NaN,NaN,NaN
214,-11.525308,-1.978552,0,1125,NaN,NaN,NaN
215,-11.52813,-1.975609,0,1125,NaN,NaN,NaN
216,-11.52813,-1.972665,0,1124,NaN,NaN,NaN
217,-11.530952,-1.966779,0,1123,NaN,NaN,NaN
218,-11.511198,-1.966779,0,1122,NaN,NaN,NaN
219,-11.488619,-1.969722,0,1122,NaN,NaN,NaN
220,-11.46886,-1.969722,0,1123,NaN,NaN,NaN
221,-11.474506,-1.966779,0,1123,NaN,NaN,NaN
222,-11.480151,-1.981495,0,1124,NaN,NaN,NaN
223,-11.485797,-1.999153,0,1124,NaN,NaN,NaN
224,-11.488619,-2.016811,0,1124,NaN,NaN,NaN
225,-11.488619,-2.019754,0,1123,NaN,NaN,NaN
226,-11.491442,-2.022697,0,1121,NaN,NaN,NaN
227,-11.491442,-2.02564,0,1120,NaN,NaN,NaN
228,-11.491442,-2.02564,0,1121,NaN,NaN,NaN
229,-11.491442,-2.022697,0,1121,NaN,NaN,NaN
230,-11.494264,-2.02564,0,1121,NaN,NaN,NaN
231,-11.497087,-2.028583,0,1123,NaN,NaN,NaN
232,-11.499909,-2.016811,0,1125,NaN,NaN,NaN
233,-11.499909,-1.990324,0,1127,NaN,NaN,NaN
234,-11.499909,-1.972665,0,1127,NaN,NaN,NaN
235,-11.502732,-1.981495,0,1126,NaN,NaN,NaN
236,-11.508376,-1.993267,0,1125,NaN,NaN,NaN
237,-11.516842,-1.99621,0,1124,NaN,NaN,NaN
238,-11.519664,-1.99621,0,1123,NaN,NaN,NaN
239,-11.519664,-1.993267,0,1123,NaN,NaN,NaN
240,-11.51402,-1.993267,0,1122,NaN,NaN,NaN
241,-11.51402,-2.002096,0,1122,NaN,NaN,NaN
242,-11.508376,-2.010925,0,1122,NaN,NaN,NaN
243,-11.499909,-2.022697,0,1123,NaN,NaN,NaN
244,-11.505554,-2.019754,0,1124,NaN,NaN,NaN
245,-11.516842,-2.019754,0,1125,NaN,NaN,NaN
246,-11.525308,-1.999153,0,1124,NaN,NaN,NaN
247,-11.505554,-1.978552,0,1123,NaN,NaN,NaN
248,-11.491442,-1.963836,0,1123,NaN,NaN,NaN
249,-11.488619,-1.966779,0,1122,NaN,NaN,NaN
250,-11.497087,-1.975609,0,1122,NaN,NaN,NaN
251,-11.505554,-1.978552,0,1122,NaN,NaN,NaN
252,-11.508376,-1.981495,0,1122,NaN,NaN,NaN
253,-11.508376,-1.975609,0,1122,NaN,NaN,NaN
254,-11.511198,-1.966779,0,1122,NaN,NaN,NaN
255,-11.505554,-1.95795,0,1121,NaN,NaN,NaN
256,-11.499909,-1.952063,0,1120,NaN,NaN,NaN
257,-11.497087,-1.952063,0,1120,NaN,NaN,NaN
258,-11.502732,-1.963836,0,1120,NaN,NaN,NaN
259,-11.522486,-1.972665,0,1121,NaN,NaN,NaN
260,-11.539417,-1.975609,0,1122,NaN,NaN,NaN
261,-11.536595,-1.969722,0,1123,NaN,NaN,NaN
262,-11.519664,-1.972665,0,1123,NaN,NaN,NaN
263,-11.508376,-1.981495,0,1123,NaN,NaN,NaN
264,-11.516842,-1.987381,0,1123,NaN,NaN,NaN
265,-11.51402,-1.987381,0,1124,NaN,NaN,NaN
266,-11.499909,-1.987381,0,1125,NaN,NaN,NaN
267,-11.488619,-1.984438,0,1126,NaN,NaN,NaN
268,-11.488619,-1.978552,0,1124,NaN,NaN,NaN
269,-11.494264,-1.975609,0,1123,NaN,NaN,NaN
270,-11.499909,-1.978552,0,1123,NaN,NaN,NaN
271,-11.508376,-1.987381,0,1124,NaN,NaN,NaN
272,-11.508376,-1.990324,0,1125,NaN,NaN,NaN
273,-11.511198,-1.990324,0,1126,NaN,NaN,NaN
274,-11.51402,-1.990324,0,1129,NaN,NaN,NaN
275,-11.505554,-1.987381,0,1130,NaN,NaN,NaN
276,-11.491442,-1.999153,0,1131,NaN,NaN,NaN
277,-11.477328,-2.016811,0,1131,NaN,NaN,NaN
278,-11.477328,-2.031526,0,1129,NaN,NaN,NaN
279,-11.477328,-2.031526,0,1127,NaN,NaN,NaN
280,-11.491442,-2.02564,0,1126,NaN,NaN,NaN
281,-11.505554,-2.022697,0,1126,NaN,NaN,NaN
282,-11.516842,-2.019754,0,1126,NaN,NaN,NaN
283,-11.499909,-2.019754,0,1126,NaN,NaN,NaN
284,-11.480151,-2.019754,0,1125,NaN,NaN,NaN
285,-11.471683,-2.016811,0,1125,NaN,NaN,NaN
286,-11.482974,-2.016811,0,1124,NaN,NaN,NaN
287,-11.497087,-2.019754,0,1124,NaN,NaN,NaN
288,-11.499909,-2.019754,0,1125,NaN,NaN,NaN
289,-11.497087,-2.019754,0,1126,NaN,NaN,NaN
290,-11.491442,-2.022697,0,1127,NaN,NaN,NaN
291,-11.488619,-2.031526,0,1127,NaN,NaN,NaN
292,-11.491442,-2.037412,0,1127,NaN,NaN,NaN
293,-11.494264,-2.043298,0,1127,NaN,NaN,NaN
294,-11.482974,-2.037412,0,1127,NaN,NaN,NaN
295,-11.46886,-2.034469,0,1126,NaN,NaN,NaN
296,-11.451921,-2.034469,0,1128,NaN,NaN,NaN
297,-11.449097,-2.043298,0,1130,NaN,NaN,NaN
298,-11.449097,-2.049184,0,1133,NaN,NaN,NaN
299,-11.446274,-2.049184,0,1133,NaN,NaN,NaN
300,-11.446274,-2.049184,0,1133,NaN,NaN,NaN
301,-11.449097,-2.046241,0,1131,NaN,NaN,NaN
302,-11.477328,-2.052127,0,1130,NaN,NaN,NaN
303,-11.505554,-2.058012,0,1131,NaN,NaN,NaN
304,-11.525308,-2.060955,0,1131,NaN,NaN,NaN
305,-11.51402,-2.058012,0,1131,NaN,NaN,NaN
306,-11.502732,-2.052127,0,1131,NaN,NaN,NaN
307,-11.499909,-2.046241,0,1129,NaN,NaN,NaN
308,-11.474506,-2.040355,0,1127,NaN,NaN,NaN
309,-11.420861,-2.043298,0,1126,NaN,NaN,NaN
310,-11.341768,-2.046241,0,1126,NaN,NaN,NaN
311,-11.256977,-2.052127,0,1127,NaN,NaN,NaN
312,-11.141016,-2.060955,0,1127,NaN,NaN,NaN
313,-11.033456,-2.081555,0,1127,NaN,NaN,NaN
314,-10.91165,-2.105096,0,1128,NaN,NaN,NaN
315,-10.764215,-2.158062,0,1130,NaN,NaN,NaN
316,-10.528588,-2.249273,0,1131,NaN,NaN,NaN
317,-10.289756,-2.340473,0,1130,NaN,NaN,NaN
318,-10.104696,-2.405188,0,1130,NaN,NaN,NaN
319,-9.965048,-2.499307,0,1131,NaN,NaN,NaN
320,-9.828134,-2.596354,0,1133,NaN,NaN,NaN
321,-9.705385,-2.728667,0,1135,NaN,NaN,NaN
322,-9.616836,-2.793343,0,1135,NaN,NaN,NaN
323,-9.573973,-2.878586,0,1135,NaN,NaN,NaN
324,-9.553967,-2.925611,0,1135,NaN,NaN,NaN
325,-9.559683,-3.025527,0,1135,NaN,NaN,NaN
326,-9.605407,-3.125424,0,1137,NaN,NaN,NaN
327,-9.651119,-3.204741,0,1138,NaN,NaN,NaN
328,-9.68825,-3.251738,0,1139,NaN,NaN,NaN
329,-9.68825,-3.272298,0,1139,NaN,NaN,NaN
330,-9.685394,-3.28992,0,1139,NaN,NaN,NaN
331,-9.682538,-3.286983,0,1139,NaN,NaN,NaN
332,-9.668258,-3.295793,0,1141,NaN,NaN,NaN
333,-9.645406,-3.307541,0,1143,NaN,NaN,NaN
334,-9.619693,-3.316351,0,1147,NaN,NaN,NaN
335,-9.611122,-3.307541,0,1148,NaN,NaN,NaN
336,-9.622551,-3.29873,0,1149,NaN,NaN,NaN
337,-9.636835,-3.292856,0,1148,NaN,NaN,NaN
338,-9.648262,-3.272298,0,1148,NaN,NaN,NaN
339,-9.651119,-3.251738,0,1147,NaN,NaN,NaN
340,-9.651119,-3.231177,0,1147,NaN,NaN,NaN
341,-9.653975,-3.216491,0,1147,NaN,NaN,NaN
342,-9.659688,-3.204741,0,1147,NaN,NaN,NaN
343,-9.662545,-3.184179,0,1147,NaN,NaN,NaN
344,-9.665401,-3.181241,0,1146,NaN,NaN,NaN
345,-9.671114,-3.175366,0,1144,NaN,NaN,NaN
346,-9.676826,-3.178304,0,1142,NaN,NaN,NaN
347,-9.682538,-3.190054,0,1141,NaN,NaN,NaN
348,-9.679682,-3.207679,0,1140,NaN,NaN,NaN
349,-9.676826,-3.225303,0,1140,NaN,NaN,NaN
350,-9.676826,-3.242926,0,1139,NaN,NaN,NaN
351,-9.671114,-3.263486,0,1139,NaN,NaN,NaN
352,-9.665401,-3.278172,0,1139,NaN,NaN,NaN
353,-9.656832,-3.272298,0,1139,NaN,NaN,NaN
354,-9.651119,-3.260549,0,1139,NaN,NaN,NaN
355,-9.645406,-3.260549,0,1139,NaN,NaN,NaN
356,-9.642549,-3.275235,0,1139,NaN,NaN,NaN
357,-9.645406,-3.29873,0,1140,NaN,NaN,NaN
358,-9.648262,-3.304604,0,1141,NaN,NaN,NaN
359,-9.653975,-3.284046,0,1141,NaN,NaN,NaN
360,-9.662545,-3.263486,0,1141,NaN,NaN,NaN
361,-9.671114,-3.245864,0,1140,NaN,NaN,NaN
362,-9.668258,-3.257612,0,1140,NaN,NaN,NaN
363,-9.662545,-3.266424,0,1140,NaN,NaN,NaN
364,-9.656832,-3.272298,0,1140,NaN,NaN,NaN
365,-9.659688,-3.269361,0,1140,NaN,NaN,NaN
366,-9.665401,-3.263486,0,1141,NaN,NaN,NaN
367,-9.668258,-3.257612,0,1142,NaN,NaN,NaN
368,-9.665401,-3.260549,0,1142,NaN,NaN,NaN
369,-9.662545,-3.263486,0,1141,NaN,NaN,NaN
370,-9.656832,-3.254675,0,1141,NaN,NaN,NaN
371,-9.653975,-3.242926,0,1139,NaN,NaN,NaN
372,-9.651119,-3.234115,0,1138,NaN,NaN,NaN
373,-9.645406,-3.237052,0,1137,NaN,NaN,NaN
374,-9.642549,-3.242926,0,1136,NaN,NaN,NaN
375,-9.636835,-3.248801,0,1134,NaN,NaN,NaN
376,-9.633978,-3.248801,0,1134,NaN,NaN,NaN
377,-9.645406,-3.231177,0,1133,NaN,NaN,NaN
378,-9.659688,-3.216491,0,1133,NaN,NaN,NaN
379,-9.67397,-3.219428,0,1134,NaN,NaN,NaN
380,-9.676826,-3.239989,0,1136,NaN,NaN,NaN
381,-9.679682,-3.257612,0,1137,NaN,NaN,NaN
382,-9.67397,-3.260549,0,1137,NaN,NaN,NaN
383,-9.668258,-3.251738,0,1137,NaN,NaN,NaN
384,-9.656832,-3.239989,0,1137,NaN,NaN,NaN
385,-9.648262,-3.237052,0,1138,NaN,NaN,NaN
386,-9.645406,-3.242926,0,1139,NaN,NaN,NaN
387,-9.645406,-3.248801,0,1141,NaN,NaN,NaN
388,-9.651119,-3.248801,0,1140,NaN,NaN,NaN
389,-9.651119,-3.245864,0,1138,NaN,NaN,NaN
390,-9.651119,-3.242926,0,1136,NaN,NaN,NaN
391,-9.651119,-3.239989,0,1136,NaN,NaN,NaN
392,-9.651119,-3.254675,0,1138,NaN,NaN,NaN
393,-9.651119,-3.269361,0,1140,NaN,NaN,NaN
394,-9.651119,-3.281109,0,1142,NaN,NaN,NaN
395,-9.648262,-3.278172,0,1142,NaN,NaN,NaN
396,-9.645406,-3.266424,0,1142,NaN,NaN,NaN
397,-9.639692,-3.242926,0,1141,NaN,NaN,NaN
398,-9.639692,-3.225303,0,1140,NaN,NaN,NaN
399,-9.639692,-3.22824,0,1140,NaN,NaN,NaN
400,-9.633978,-3.245864,0,1141,NaN,NaN,NaN
401,-9.628265,-3.266424,0,1141,NaN,NaN,NaN
402,-9.636835,-3.266424,0,1142,NaN,NaN,NaN
403,-9.656832,-3.272298,0,1142,NaN,NaN,NaN
404,-9.67397,-3.278172,0,1141,NaN,NaN,NaN
405,-9.67397,-3.281109,0,1141,NaN,NaN,NaN
406,-9.653975,-3.281109,0,1140,NaN,NaN,NaN
407,-9.636835,-3.278172,0,1140,NaN,NaN,NaN
408,-9.622551,-3.272298,0,1140,NaN,NaN,NaN
409,-9.636835,-3.266424,0,1140,NaN,NaN,NaN
410,-9.645406,-3.263486,0,1141,NaN,NaN,NaN
411,-9.645406,-3.266424,0,1140,NaN,NaN,NaN
412,-9.639692,-3.272298,0,1139,NaN,NaN,NaN
413,-9.636835,-3.278172,0,1138,NaN,NaN,NaN
414,-9.639692,-3.272298,0,1138,NaN,NaN,NaN
415,-9.639692,-3.263486,0,1138,NaN,NaN,NaN
416,-9.639692,-3.254675,0,1137,NaN,NaN,NaN
417,-9.636835,-3.245864,0,1136,NaN,NaN,NaN
418,-9.642549,-3.239989,0,1136,NaN,NaN,NaN
419,-9.656832,-3.234115,0,1136,NaN,NaN,NaN
420,-9.671114,-3.231177,0,1136,NaN,NaN,NaN
421,-9.662545,-3.222365,0,1136,NaN,NaN,NaN
422,-9.645406,-3.219428,0,1136,NaN,NaN,NaN
423,-9.639692,-3.216491,0,1137,NaN,NaN,NaN
424,-9.648262,-3.222365,0,1137,NaN,NaN,NaN
425,-9.656832,-3.22824,0,1138,NaN,NaN,NaN
426,-9.653975,-3.219428,0,1139,NaN,NaN,NaN
427,-9.651119,-3.201804,0,1139,NaN,NaN,NaN
428,-9.653975,-3.184179,0,1140,NaN,NaN,NaN
429,-9.656832,-3.184179,0,1139,NaN,NaN,NaN
430,-9.659688,-3.163616,0,1136,NaN,NaN,NaN
431,-9.659688,-3.143051,0,1132,NaN,NaN,NaN
432,-9.659688,-3.1313,0,1130,NaN,NaN,NaN
433,-9.656832,-3.140114,0,1131,NaN,NaN,NaN
434,-9.653975,-3.148927,0,1131,NaN,NaN,NaN
435,-9.651119,-3.151865,0,1131,NaN,NaN,NaN
436,-9.636835,-3.151865,0,1131,NaN,NaN,NaN
437,-9.625408,-3.143051,0,1130,NaN,NaN,NaN
438,-9.611122,-3.1313,0,1129,NaN,NaN,NaN
439,-9.608265,-3.119549,0,1129,NaN,NaN,NaN
440,-9.605407,-3.116611,0,1129,NaN,NaN,NaN
441,-9.60255,-3.113673,0,1129,NaN,NaN,NaN
442,-9.60255,-3.110735,0,1128,NaN,NaN,NaN
443,-9.599692,-3.113673,0,1128,NaN,NaN,NaN
444,-9.596835,-3.116611,0,1128,NaN,NaN,NaN
445,-9.593977,-3.122487,0,1129,NaN,NaN,NaN
446,-9.605407,-3.122487,0,1129,NaN,NaN,NaN
447,-9.619693,-3.122487,0,1130,NaN,NaN,NaN
448,-9.628265,-3.122487,0,1130,NaN,NaN,NaN
449,-9.619693,-3.122487,0,1130,NaN,NaN,NaN
