n,x,y,val
131,-11.530952000000001,-1.93146,0
132,-11.52813,-1.919687,0
133,-11.519664,-1.919687,0
134,-11.51402,-1.934404,0
135,-11.508376,-1.952063,0
136,-11.502732,-1.955006,0
137,-11.505554,-1.975609,0
138,-11.511198,-1.993267,0
139,-11.516842,-1.993267,0
140,-11.519664,-1.9726650000000001,0
141,-11.522486,-1.95795,0
142,-11.525308,-1.9638360000000001,0
143,-11.52813,-1.955006,0
144,-11.52813,-1.9432330000000002,0
145,-11.522486,-1.94029,0
146,-11.519664,-1.9432330000000002,0
147,-11.522486,-1.9373470000000002,0
148,-11.522486,-1.9226299999999998,0
149,-11.525308,-1.9285169999999998,0
150,-11.530952000000001,-1.9432330000000002,0
151,-11.539417,-1.955006,0
152,-11.550703,-1.955006,0
153,-11.553524000000001,-1.955006,0
154,-11.553524000000001,-1.95795,0
155,-11.550703,-1.9697220000000002,0
156,-11.542238000000001,-1.981495,0
157,-11.536595,-1.975609,0
158,-11.530952000000001,-1.95795,0
159,-11.52813,-1.94029,0
160,-11.522486,-1.946177,0
161,-11.516842,-1.94912,0
162,-11.511198,-1.960893,0
163,-11.502732,-1.9697220000000002,0
164,-11.494264,-1.94912,0
165,-11.482974,-1.9226299999999998,0
166,-11.480151,-1.9079139999999999,0
167,-11.482974,-1.9226299999999998,0
168,-11.502732,-1.9373470000000002,0
169,-11.522486,-1.952063,0
170,-11.533774000000001,-1.955006,0
171,-11.533774000000001,-1.960893,0
172,-11.533774000000001,-1.9432330000000002,0
173,-11.530952000000001,-1.9285169999999998,0
174,-11.539417,-1.9285169999999998,0
175,-11.553524000000001,-1.94912,0
176,-11.570451,-1.9697220000000002,0
177,-11.561988000000001,-1.9697220000000002,0
178,-11.547881,-1.9697220000000002,0
179,-11.530952000000001,-1.966779,0
180,-11.530952000000001,-1.9638360000000001,0
181,-11.52813,-1.960893,0
182,-11.52813,-1.955006,0
183,-11.516842,-1.960893,0
184,-11.502732,-1.966779,0
185,-11.485797,-1.975609,0
186,-11.480151,-1.9726650000000001,0
187,-11.480151,-1.9697220000000002,0
188,-11.497086999999999,-1.9638360000000001,0
189,-11.519664,-1.9638360000000001,0
190,-11.52813,-1.9697220000000002,0
191,-11.51402,-1.978552,0
192,-11.508376,-1.981495,0
193,-11.522486,-1.9844380000000001,0
194,-11.530952000000001,-1.9844380000000001,0
195,-11.530952000000001,-1.987381,0
196,-11.519664,-1.993267,0
197,-11.51402,-1.999153,0
198,-11.499908999999999,-1.9903240000000002,0
199,-11.488619,-1.975609,0
200,-11.482974,-1.95795,0
201,-11.491442,-1.952063,0
202,-11.497086999999999,-1.94029,0
203,-11.499908999999999,-1.93146,0
204,-11.499908999999999,-1.9255740000000001,0
205,-11.502732,-1.9373470000000002,0
206,-11.505554,-1.94912,0
207,-11.505554,-1.955006,0
208,-11.505554,-1.960893,0
209,-11.508376,-1.960893,0
210,-11.508376,-1.9638360000000001,0
211,-11.511198,-1.9638360000000001,0
212,-11.51402,-1.9697220000000002,0
213,-11.519664,-1.9726650000000001,0
214,-11.525308,-1.978552,0
215,-11.52813,-1.975609,0
216,-11.52813,-1.9726650000000001,0
217,-11.530952000000001,-1.966779,0
218,-11.511198,-1.966779,0
219,-11.488619,-1.9697220000000002,0
220,-11.468860000000001,-1.9697220000000002,0
221,-11.474506,-1.966779,0
222,-11.480151,-1.981495,0
223,-11.485797,-1.999153,0
224,-11.488619,-2.016811,0
225,-11.488619,-2.0197540000000003,0
226,-11.491442,-2.022697,0
227,-11.491442,-2.02564,0
228,-11.491442,-2.02564,0
229,-11.491442,-2.022697,0
230,-11.494264,-2.02564,0
231,-11.497086999999999,-2.0285830000000002,0
232,-11.499908999999999,-2.016811,0
233,-11.499908999999999,-1.9903240000000002,0
234,-11.499908999999999,-1.9726650000000001,0
235,-11.502732,-1.981495,0
236,-11.508376,-1.993267,0
237,-11.516842,-1.9962099999999998,0
238,-11.519664,-1.9962099999999998,0
239,-11.519664,-1.993267,0
240,-11.51402,-1.993267,0
241,-11.51402,-2.002096,0
242,-11.508376,-2.010925,0
243,-11.499908999999999,-2.022697,0
244,-11.505554,-2.0197540000000003,0
245,-11.516842,-2.0197540000000003,0
246,-11.525308,-1.999153,0
247,-11.505554,-1.978552,0
248,-11.491442,-1.9638360000000001,0
249,-11.488619,-1.966779,0
250,-11.497086999999999,-1.975609,0
251,-11.505554,-1.978552,0
252,-11.508376,-1.981495,0
253,-11.508376,-1.975609,0
254,-11.511198,-1.966779,0
255,-11.505554,-1.95795,0
256,-11.499908999999999,-1.952063,0
257,-11.497086999999999,-1.952063,0
258,-11.502732,-1.9638360000000001,0
259,-11.522486,-1.9726650000000001,0
260,-11.539417,-1.975609,0
261,-11.536595,-1.9697220000000002,0
262,-11.519664,-1.9726650000000001,0
263,-11.508376,-1.981495,0
264,-11.516842,-1.987381,0
265,-11.51402,-1.987381,0
266,-11.499908999999999,-1.987381,0
267,-11.488619,-1.9844380000000001,0
268,-11.488619,-1.978552,0
269,-11.494264,-1.975609,0
270,-11.499908999999999,-1.978552,0
271,-11.508376,-1.987381,0
272,-11.508376,-1.9903240000000002,0
273,-11.511198,-1.9903240000000002,0
274,-11.51402,-1.9903240000000002,0
275,-11.505554,-1.987381,0
276,-11.491442,-1.999153,0
277,-11.477328,-2.016811,0
278,-11.477328,-2.031526,0
279,-11.477328,-2.031526,0
280,-11.491442,-2.02564,0
281,-11.505554,-2.022697,0
282,-11.516842,-2.0197540000000003,0
283,-11.499908999999999,-2.0197540000000003,0
284,-11.480151,-2.0197540000000003,0
285,-11.471683,-2.016811,0
286,-11.482974,-2.016811,0
287,-11.497086999999999,-2.0197540000000003,0
288,-11.499908999999999,-2.0197540000000003,0
289,-11.497086999999999,-2.0197540000000003,0
290,-11.491442,-2.022697,0
291,-11.488619,-2.031526,0
292,-11.491442,-2.037412,0
293,-11.494264,-2.043298,0
294,-11.482974,-2.037412,0
295,-11.468860000000001,-2.034469,0
296,-11.451921,-2.034469,0
297,-11.449097,-2.043298,0
298,-11.449097,-2.049184,0
299,-11.446274,-2.049184,0
300,-11.446274,-2.049184,0
301,-11.449097,-2.046241,0
302,-11.477328,-2.052127,0
303,-11.505554,-2.0580119999999997,0
304,-11.525308,-2.060955,0
305,-11.51402,-2.0580119999999997,0
306,-11.502732,-2.052127,0
307,-11.499908999999999,-2.046241,0
308,-11.474506,-2.040355,0
309,-11.420861,-2.043298,0
310,-11.341768,-2.046241,0
311,-11.256977000000001,-2.052127,0
312,-11.141016,-2.060955,0
313,-11.033456,-2.081555,0
314,-10.91165,-2.105096,0
315,-10.764215,-2.1580619999999997,0
316,-10.528588000000001,-2.249273,0
317,-10.289756,-2.340473,0
318,-10.104696,-2.405188,0
319,-9.965048,-2.499307,0
320,-9.828134,-2.5963540000000003,0
321,-9.705385,-2.7286669999999997,0
322,-9.616836,-2.793343,0
323,-9.573972999999999,-2.878586,0
324,-9.553967,-2.925611,0
325,-9.559683,-3.025527,0
326,-9.605407000000001,-3.125424,0
327,-9.651119,-3.204741,0
328,-9.68825,-3.251738,0
329,-9.68825,-3.272298,0
330,-9.685394,-3.2899199999999995,0
331,-9.682538000000001,-3.286983,0
332,-9.668258,-3.295793,0
333,-9.645406,-3.3075410000000005,0
334,-9.619693,-3.316351,0
335,-9.611122,-3.3075410000000005,0
336,-9.622551,-3.2987300000000004,0
337,-9.636835000000001,-3.2928559999999996,0
338,-9.648261999999999,-3.272298,0
339,-9.651119,-3.251738,0
340,-9.651119,-3.231177,0
341,-9.653975,-3.216491,0
342,-9.659688000000001,-3.204741,0
343,-9.662545,-3.184179,0
344,-9.665401,-3.181241,0
345,-9.671114,-3.175366,0
346,-9.676826,-3.1783040000000002,0
347,-9.682538000000001,-3.190054,0
348,-9.679682000000001,-3.207679,0
349,-9.676826,-3.225303,0
350,-9.676826,-3.2429259999999998,0
351,-9.671114,-3.263486,0
352,-9.665401,-3.278172,0
353,-9.656832000000001,-3.272298,0
354,-9.651119,-3.260549,0
355,-9.645406,-3.260549,0
356,-9.642549,-3.275235,0
357,-9.645406,-3.2987300000000004,0
358,-9.648261999999999,-3.304604,0
359,-9.653975,-3.284046,0
360,-9.662545,-3.263486,0
361,-9.671114,-3.245864,0
362,-9.668258,-3.257612,0
363,-9.662545,-3.266424,0
364,-9.656832000000001,-3.272298,0
365,-9.659688000000001,-3.269361,0
366,-9.665401,-3.263486,0
367,-9.668258,-3.257612,0
368,-9.665401,-3.260549,0
369,-9.662545,-3.263486,0
370,-9.656832000000001,-3.254675,0
371,-9.653975,-3.2429259999999998,0
372,-9.651119,-3.234115,0
373,-9.645406,-3.2370520000000003,0
374,-9.642549,-3.2429259999999998,0
375,-9.636835000000001,-3.248801,0
376,-9.633977999999999,-3.248801,0
377,-9.645406,-3.231177,0
378,-9.659688000000001,-3.216491,0
379,-9.673969999999999,-3.2194279999999997,0
380,-9.676826,-3.239989,0
381,-9.679682000000001,-3.257612,0
382,-9.673969999999999,-3.260549,0
383,-9.668258,-3.251738,0
384,-9.656832000000001,-3.239989,0
385,-9.648261999999999,-3.2370520000000003,0
386,-9.645406,-3.2429259999999998,0
387,-9.645406,-3.248801,0
388,-9.651119,-3.248801,0
389,-9.651119,-3.245864,0
390,-9.651119,-3.2429259999999998,0
391,-9.651119,-3.239989,0
392,-9.651119,-3.254675,0
393,-9.651119,-3.269361,0
394,-9.651119,-3.281109,0
395,-9.648261999999999,-3.278172,0
396,-9.645406,-3.266424,0
397,-9.639692,-3.2429259999999998,0
398,-9.639692,-3.225303,0
399,-9.639692,-3.22824,0
400,-9.633977999999999,-3.245864,0
401,-9.628264999999999,-3.266424,0
402,-9.636835000000001,-3.266424,0
403,-9.656832000000001,-3.272298,0
404,-9.673969999999999,-3.278172,0
405,-9.673969999999999,-3.281109,0
406,-9.653975,-3.281109,0
407,-9.636835000000001,-3.278172,0
408,-9.622551,-3.272298,0
409,-9.636835000000001,-3.266424,0
410,-9.645406,-3.263486,0
411,-9.645406,-3.266424,0
412,-9.639692,-3.272298,0
413,-9.636835000000001,-3.278172,0
414,-9.639692,-3.272298,0
415,-9.639692,-3.263486,0
416,-9.639692,-3.254675,0
417,-9.636835000000001,-3.245864,0
418,-9.642549,-3.239989,0
419,-9.656832000000001,-3.234115,0
420,-9.671114,-3.231177,0
421,-9.662545,-3.222365,0
422,-9.645406,-3.2194279999999997,0
423,-9.639692,-3.216491,0
424,-9.648261999999999,-3.222365,0
425,-9.656832000000001,-3.22824,0
426,-9.653975,-3.2194279999999997,0
427,-9.651119,-3.201804,0
428,-9.653975,-3.184179,0
429,-9.656832000000001,-3.184179,0
430,-9.659688000000001,-3.163616,0
431,-9.659688000000001,-3.143051,0
432,-9.659688000000001,-3.1313,0
433,-9.656832000000001,-3.140114,0
434,-9.653975,-3.148927,0
435,-9.651119,-3.1518650000000004,0
436,-9.636835000000001,-3.1518650000000004,0
437,-9.625408,-3.143051,0
438,-9.611122,-3.1313,0
439,-9.608265,-3.119549,0
440,-9.605407000000001,-3.1166110000000002,0
441,-9.60255,-3.113673,0
442,-9.60255,-3.110735,0
443,-9.599692,-3.113673,0
444,-9.596835,-3.1166110000000002,0
445,-9.593977,-3.122487,0
446,-9.605407000000001,-3.122487,0
447,-9.619693,-3.122487,0
448,-9.628264999999999,-3.122487,0
449,-9.619693,-3.122487,0
450,-9.608265,-3.1166110000000002,0
451,-9.605407000000001,-3.113673,0
452,-9.596835,-3.101921,0
453,-9.588262,-3.096045,0
454,-9.588262,-3.096045,0
455,-9.605407000000001,-3.098983,0
456,-9.622551,-3.101921,0
457,-9.628264999999999,-3.096045,0
458,-9.619693,-3.096045,0
459,-9.616836,-3.090169,0
460,-9.622551,-3.081354,0
461,-9.613978999999999,-3.07254,0
462,-9.599692,-3.07254,0
463,-9.588262,-3.090169,0
464,-9.59112,-3.110735,0
465,-9.593977,-3.1342380000000003,0
466,-9.60255,-3.140114,0
467,-9.611122,-3.140114,0
468,-9.619693,-3.1313,0
469,-9.619693,-3.128362,0
470,-9.616836,-3.125424,0
471,-9.616836,-3.107797,0
472,-9.616836,-3.084293,0
473,-9.613978999999999,-3.066664,0
474,-9.613978999999999,-3.07254,0
475,-9.616836,-3.075478,0
476,-9.622551,-3.087231,0
477,-9.625408,-3.098983,0
478,-9.628264999999999,-3.110735,0
479,-9.628264999999999,-3.110735,0
480,-9.631122,-3.107797,0
481,-9.639692,-3.104859,0
482,-9.645406,-3.101921,0
483,-9.653975,-3.090169,0
484,-9.653975,-3.078416,0
485,-9.651119,-3.07254,0
486,-9.645406,-3.081354,0
487,-9.633977999999999,-3.098983,0
488,-9.631122,-3.110735,0
489,-9.619693,-3.113673,0
490,-9.613978999999999,-3.110735,0
491,-9.616836,-3.107797,0
492,-9.622551,-3.107797,0
493,-9.628264999999999,-3.110735,0
494,-9.625408,-3.110735,0
495,-9.631122,-3.096045,0
496,-9.631122,-3.084293,0
497,-9.633977999999999,-3.075478,0
498,-9.633977999999999,-3.075478,0
499,-9.633977999999999,-3.075478,0
500,-9.636835000000001,-3.078416,0
501,-9.639692,-3.07254,0
502,-9.639692,-3.069602,0
503,-9.636835000000001,-3.066664,0
504,-9.622551,-3.063725,0
505,-9.611122,-3.057849,0
506,-9.613978999999999,-3.046096,0
507,-9.628264999999999,-3.040219,0
508,-9.642549,-3.051972,0
509,-9.642549,-3.069602,0
510,-9.636835000000001,-3.084293,0
511,-9.628264999999999,-3.081354,0
512,-9.622551,-3.075478,0
513,-9.622551,-3.07254,0
514,-9.625408,-3.07254,0
515,-9.619693,-3.07254,0
516,-9.613978999999999,-3.075478,0
517,-9.622551,-3.078416,0
518,-9.633977999999999,-3.084293,0
519,-9.645406,-3.093107,0
520,-9.631122,-3.098983,0
521,-9.625408,-3.107797,0
522,-9.616836,-3.1166110000000002,0
523,-9.622551,-3.119549,0
524,-9.625408,-3.1166110000000002,0
525,-9.625408,-3.107797,0
526,-9.622551,-3.101921,0
527,-9.619693,-3.098983,0
528,-9.636835000000001,-3.096045,0
529,-9.651119,-3.093107,0
530,-9.645406,-3.090169,0
531,-9.625408,-3.090169,0
532,-9.60255,-3.096045,0
533,-9.596835,-3.101921,0
534,-9.613978999999999,-3.110735,0
535,-9.636835000000001,-3.125424,0
536,-9.648261999999999,-3.1371759999999997,0
537,-9.619693,-3.1518650000000004,0
538,-9.593977,-3.15774,0
539,-9.573972999999999,-3.1518650000000004,0
540,-9.573972999999999,-3.140114,0
541,-9.576831,-3.1313,0
542,-9.579689,-3.1313,0
543,-9.585405,-3.1342380000000003,0
544,-9.588262,-3.1342380000000003,0
545,-9.588262,-3.1342380000000003,0
546,-9.585405,-3.1313,0
547,-9.576831,-3.128362,0
548,-9.568257000000001,-3.128362,0
549,-9.559683,-3.125424,0
550,-9.562541,-3.125424,0
551,-9.571114999999999,-3.119549,0
552,-9.582547,-3.113673,0
553,-9.59112,-3.110735,0
554,-9.599692,-3.110735,0
555,-9.599692,-3.107797,0
556,-9.599692,-3.107797,0
557,-9.599692,-3.113673,0
558,-9.60255,-3.128362,0
559,-9.60255,-3.143051,0
560,-9.596835,-3.154802,0
561,-9.593977,-3.15774,0
562,-9.588262,-3.154802,0
563,-9.585405,-3.1518650000000004,0
564,-9.59112,-3.15774,0
565,-9.605407000000001,-3.166553,0
566,-9.599692,-3.175366,0
567,-9.579689,-3.172428,0
568,-9.562541,-3.169491,0
569,-9.565399000000001,-3.166553,0
570,-9.559683,-3.169491,0
571,-9.556825,-3.169491,0
572,-9.553967,-3.1783040000000002,0
573,-9.559683,-3.187116,0
574,-9.565399000000001,-3.195929,0
575,-9.568257000000001,-3.195929,0
576,-9.579689,-3.216491,0
577,-9.59112,-3.231177,0
578,-9.588262,-3.2429259999999998,0
579,-9.576831,-3.231177,0
580,-9.571114999999999,-3.222365,0
581,-9.579689,-3.248801,0
582,-9.582547,-3.275235,0
583,-9.582547,-3.3016669999999997,0
584,-9.582547,-3.295793,0
585,-9.571114999999999,-3.2899199999999995,0
586,-9.556825,-3.2899199999999995,0
587,-9.545392,-3.3075410000000005,0
588,-9.545392,-3.325162,0
589,-9.545392,-3.336908,0
590,-9.542534,-3.316351,0
591,-9.54825,-3.2928559999999996,0
592,-9.559683,-3.278172,0
593,-9.571114999999999,-3.278172,0
594,-9.576831,-3.281109,0
595,-9.573972999999999,-3.284046,0
596,-9.565399000000001,-3.278172,0
597,-9.576831,-3.269361,0
598,-9.59112,-3.257612,0
599,-9.596835,-3.263486,0
600,-9.588262,-3.272298,0
601,-9.571114999999999,-3.269361,0
602,-9.565399000000001,-3.260549,0
603,-9.565399000000001,-3.254675,0
604,-9.573972999999999,-3.2429259999999998,0
605,-9.576831,-3.22824,0
606,-9.573972999999999,-3.213553,0
607,-9.576831,-3.207679,0
608,-9.579689,-3.204741,0
609,-9.582547,-3.204741,0
610,-9.582547,-3.216491,0
611,-9.585405,-3.231177,0
612,-9.588262,-3.22824,0
613,-9.582547,-3.210616,0
614,-9.576831,-3.201804,0
615,-9.579689,-3.210616,0
616,-9.59112,-3.2194279999999997,0
617,-9.60255,-3.222365,0
618,-9.605407000000001,-3.222365,0
619,-9.60255,-3.2194279999999997,0
620,-9.596835,-3.216491,0
621,-9.593977,-3.222365,0
622,-9.588262,-3.231177,0
623,-9.579689,-3.234115,0
624,-9.571114999999999,-3.225303,0
625,-9.565399000000001,-3.231177,0
626,-9.565399000000001,-3.2429259999999998,0
627,-9.565399000000001,-3.251738,0
628,-9.565399000000001,-3.248801,0
629,-9.565399000000001,-3.245864,0
630,-9.565399000000001,-3.2429259999999998,0
631,-9.565399000000001,-3.2370520000000003,0
632,-9.568257000000001,-3.2370520000000003,0
633,-9.571114999999999,-3.239989,0
634,-9.565399000000001,-3.239989,0
635,-9.556825,-3.2370520000000003,0
636,-9.551109,-3.2370520000000003,0
637,-9.551109,-3.2370520000000003,0
638,-9.551109,-3.2370520000000003,0
639,-9.551109,-3.239989,0
640,-9.559683,-3.2370520000000003,0
641,-9.571114999999999,-3.225303,0
642,-9.579689,-3.213553,0
643,-9.573972999999999,-3.201804,0
644,-9.565399000000001,-3.195929,0
645,-9.559683,-3.1988659999999998,0
646,-9.553967,-3.207679,0
647,-9.551109,-3.2194279999999997,0
648,-9.553967,-3.234115,0
649,-9.562541,-3.239989,0
650,-9.571114999999999,-3.245864,0
651,-9.571114999999999,-3.2429259999999998,0
652,-9.571114999999999,-3.239989,0
653,-9.573972999999999,-3.22824,0
654,-9.571114999999999,-3.213553,0
655,-9.571114999999999,-3.216491,0
656,-9.571114999999999,-3.22824,0
657,-9.571114999999999,-3.2429259999999998,0
658,-9.562541,-3.245864,0
659,-9.556825,-3.234115,0
660,-9.551109,-3.222365,0
661,-9.553967,-3.22824,0
662,-9.553967,-3.2429259999999998,0
663,-9.553967,-3.257612,0
664,-9.556825,-3.254675,0
665,-9.559683,-3.2429259999999998,0
666,-9.565399000000001,-3.234115,0
667,-9.565399000000001,-3.225303,0
668,-9.571114999999999,-3.22824,0
669,-9.576831,-3.22824,0
670,-9.576831,-3.225303,0
671,-9.573972999999999,-3.2194279999999997,0
672,-9.571114999999999,-3.213553,0
673,-9.559683,-3.204741,0
674,-9.545392,-3.1988659999999998,0
675,-9.539675,-3.195929,0
676,-9.545392,-3.1988659999999998,0
677,-9.553967,-3.207679,0
678,-9.562541,-3.213553,0
679,-9.571114999999999,-3.2194279999999997,0
680,-9.582547,-3.231177,0
681,-9.562541,-3.248801,0
682,-9.539675,-3.263486,0
683,-9.516805999999999,-3.260549,0
684,-9.516805999999999,-3.272298,0
685,-9.519665,-3.2899199999999995,0
686,-9.528241,-3.284046,0
687,-9.545392,-3.260549,0
688,-9.553967,-3.239989,0
689,-9.562541,-3.245864,0
690,-9.565399000000001,-3.248801,0
691,-9.565399000000001,-3.245864,0
692,-9.565399000000001,-3.239989,0
693,-9.565399000000001,-3.234115,0
694,-9.565399000000001,-3.234115,0
695,-9.565399000000001,-3.2370520000000003,0
696,-9.568257000000001,-3.2429259999999998,0
697,-9.565399000000001,-3.248801,0
698,-9.565399000000001,-3.245864,0
699,-9.562541,-3.245864,0
700,-9.562541,-3.2429259999999998,0
701,-9.562541,-3.245864,0
702,-9.565399000000001,-3.2429259999999998,0
703,-9.565399000000001,-3.2429259999999998,0
704,-9.571114999999999,-3.2429259999999998,0
705,-9.573972999999999,-3.2429259999999998,0
706,-9.582547,-3.2429259999999998,0
707,-9.588262,-3.2429259999999998,0
708,-9.576831,-3.239989,0
709,-9.562541,-3.2370520000000003,0
710,-9.54825,-3.2370520000000003,0
711,-9.559683,-3.2370520000000003,0
712,-9.571114999999999,-3.2370520000000003,0
713,-9.579689,-3.2370520000000003,0
714,-9.573972999999999,-3.2429259999999998,0
715,-9.545392,-3.248801,0
716,-9.516805999999999,-3.22824,0
717,-9.488215,-3.204741,0
718,-9.433879,-3.184179,0
719,-9.333741999999999,-3.190054,0
720,-9.170538,-3.201804,0
721,-8.961304,-3.195929,0
722,-8.73173,-3.192991,0
723,-8.461619,-3.1988659999999998,0
724,-8.196888000000001,-3.2194279999999997,0
725,-7.891433999999999,-3.286983,0
726,-7.565312,-3.3486550000000004,0
727,-7.195303999999999,-3.4132550000000004,0
728,-6.833384,-3.498397,0
729,-6.502834,-3.592329,0
730,-6.215424,-3.709717,0
731,-5.959683,-3.7566629999999996,0
732,-5.703705,-3.8065379999999998,0
733,-5.476623,-3.835874,0
734,-5.223136,-3.882806,0
735,-4.992780000000001,-3.920935,0
736,-4.765181,-3.9502629999999996,0
737,-4.5491150000000005,-3.956128,0
738,-4.359219,-3.961993,0
739,-4.160456,-3.973724,0
740,-3.987919,-3.997183,0
741,-3.8533480000000004,-4.017709,0
742,-3.762635,-4.032369,0
743,-3.671903,-4.041165,0
744,-3.5694410000000003,-4.052893,0
745,-3.4933120000000004,-4.0704839999999995,0
746,-3.4698849999999997,-4.088075,0
747,-3.4698849999999997,-4.134979,0
748,-3.4698849999999997,-4.173083999999999,0
749,-3.487455,-4.208255,0
750,-3.505025,-4.240492,0
751,-3.546018,-4.2697959999999995,0
752,-3.5694410000000003,-4.275657,0
753,-3.627993,-4.2551440000000005,0
754,-3.677757,-4.2317,0
755,-3.7275150000000004,-4.22877,0
756,-3.750929,-4.225839,0
757,-3.753855,-4.196530999999999,0
758,-3.756782,-4.167222,0
759,-3.742149,-4.120322,0
760,-3.7275150000000004,-4.099801,0
761,-3.7041,-4.079280000000001,0
762,-3.671903,-4.079280000000001,0
763,-3.6426300000000005,-4.102733,0
764,-3.610429,-4.120322,0
765,-3.58408,-4.140841,0
766,-3.5665129999999996,-4.140841,0
767,-3.5665129999999996,-4.167222,0
768,-3.572369,-4.19067,0
769,-3.575297,-4.2111849999999995,0
770,-3.5782239999999996,-4.2111849999999995,0
771,-3.572369,-4.2111849999999995,0
772,-3.5694410000000003,-4.219978,0
773,-3.563585,-4.225839,0
774,-3.563585,-4.234630999999999,0
775,-3.5577300000000003,-4.240492,0
776,-3.5401620000000005,-4.246353,0
777,-3.5225940000000002,-4.252214,0
778,-3.534306,-4.2551440000000005,0
779,-3.5577300000000003,-4.240492,0
